################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3038140739910720E-01 a         1     0     1     1     1
  1.0472839054750449E+00 a         2     0     1     1     2
  5.8140883971874273E-03 a         3     0     1     1     3
 -3.0674831457110485E-01 a         4     0     1     1     4
  2.1282631675590077E-01 a         5     0     1     1     5
  1.8521274690376824E-01 a         6     0     1     1     6
 -4.4931354773742903E-02 a         7     0     1     1     7
  3.3287620655478284E-01 a         8     0     1     1     8
 -2.0219275640637641E-01 a         9     0     1     1     9
 -8.0054703617500522E-01 a        10     0     1     1    10
 -5.6433313007833341E-01 a        11     0     1     1    11
  1.6357731062463510E+00 a        12     0     1     1    12
  1.6971746752824826E-01 a        13     0     1     1    13
 -1.5427723401905108E-01 a        14     0     1     1    14
 -3.5688853627583832E-02 a        15     0     1     1    15
 -6.0948887251223313E-02 a        16     0     1     1    16
 -1.5894169587118412E-01 a        17     0     1     1    17
  2.5707057081759249E-01 a        18     0     1     1    18
 -1.6254854532162902E-01 a        19     0     1     1    19
 -2.5333149482631140E-01 a        20     0     1     1    20
  7.3802794272025229E-01 a        21     0     2     1     1
 -1.5915591119546351E+00 a        22     0     2     1     2
  2.5051053161721631E-01 a        23     0     2     1     3
  7.8358705073079626E-01 a        24     0     2     1     4
 -4.4869702134890993E-01 a        25     0     2     1     5
 -1.8754034970034514E-01 a        26     0     2     1     6
  1.5656160779648140E-01 a        27     0     2     1     7
 -2.3410948181292679E-01 a        28     0     2     1     8
 -1.4957952415696574E-01 a        29     0     2     1     9
  6.5528735330970422E-01 a        30     0     2     1    10
  8.0504139331644620E-01 a        31     0     2     1    11
 -2.0657022550458399E+00 a        32     0     2     1    12
  6.6509133904715287E-02 a        33     0     2     1    13
 -4.9129185879356024E-01 a        34     0     2     1    14
  7.9281012074615043E-01 a        35     0     2     1    15
  4.8526761722501244E-01 a        36     0     2     1    16
 -2.0883732838484764E-01 a        37     0     2     1    17
  8.7421139965856834E-02 a        38     0     2     1    18
  4.7866726693339856E-01 a        39     0     2     1    19
  3.4911694577594998E-01 a        40     0     2     1    20
 -5.4108364958432542E-01 a        41     0     3     1     1
 -8.3926229212313408E-02 a        42     0     3     1     2
 -7.8118231550905262E-02 a        43     0     3     1     3
 -2.2799828246724843E-02 a        44     0     3     1     4
