################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8731723146454080E-01 a         1     0     1     1     1
 -1.0522990446035146E-02 a         2     0     1     1     2
 -9.7921604470111812E-01 a         3     0     1     1     3
 -1.1057448500924436E-01 a         4     0     1     1     4
  2.3356847717367157E-01 a         5     0     1     1     5
 -3.3655428040308161E-01 a         6     0     1     1     6
  2.7661273574156464E-01 a         7     0     1     1     7
  5.6436053996948377E-01 a         8     0     1     1     8
 -5.5124926263010199E-01 a         9     0     1     1     9
  1.0031900241655112E+00 a        10     0     1     1    10
  8.2287928176217606E-01 a        11     0     1     1    11
 -6.4556899873586662E-02 a        12     0     1     1    12
 -1.3477441017976622E-03 a        13     0     1     1    13
  2.9430992590954924E-01 a        14     0     1     1    14
  6.8048993179365458E-01 a        15     0     1     1    15
  4.3205050126019934E-01 a        16     0     1     1    16
 -9.2394299649485881E-02 a        17     0     1     1    17
 -4.9883175901435622E-01 a        18     0     1     1    18
 -6.0692238374359386E-02 a        19     0     1     1    19
  1.1049375142977826E-01 a        20     0     1     1    20
 -7.3340316956244406E-02 a        21     0     2     1     1
  3.7552320244151498E-02 a        22     0     2     1     2
  1.2313225368969432E+00 a        23     0     2     1     3
 -2.3687907859631491E-01 a        24     0     2     1     4
 -8.8362936740327036E-01 a        25     0     2     1     5
  1.7048465015289135E-01 a        26     0     2     1     6
 -3.7741860894659424E-01 a        27     0     2     1     7
 -2.2912337859421777E-01 a        28     0     2     1     8
  6.1446800517809452E-01 a        29     0     2     1     9
 -1.7604193760204963E+00 a        30     0     2     1    10
 -6.4600923292155354E-01 a        31     0     2     1    11
 -4.4113901740918671E-02 a        32     0     2     1    12
 -2.8988494873397580E-01 a        33     0     2     1    13
 -9.1513386744484881E-01 a        34     0     2     1    14
 -5.9430183707523465E-01 a        35     0     2     1    15
 -5.6725316934164383E-01 a        36     0     2     1    16
 -9.4635742674820875E-02 a        37     0     2     1    17
 -9.4673230707566031E-02 a        38     0     2     1    18
  3.1439809757537207E-01 a        39     0     2     1    19
 -2.8016758613042608E-01 a        40     0     2     1    20
  4.9929480712584851E-01 a        41     0     3     1     1
 -2.1538823144932179E-01 a        42     0     3     1     2
 -7.9548836439546855E-02 a        43     0     3     1     3
  3.7424392958084383E-02 a        44     0     3     1     4
  5.9784484398137716E-01 a        45     0     3     1     5
 -1.9019321435378328E-01 a        46     0     3     1     6
  4.8685317978381343E-01 a        47     0     3     1     7
 -2.2910036945347928E-01 a        48     0     3     1     8
  1.8959733030429715E-01 a        49     0     3     1     9
  2.8750628874921358E-01 a        50     0     3     1    10
 -7.2819504808679783E-02 a        51     0     3     1    11
  6.0914051225745780E-02 a        52     0     3     1    12
  1.5906729606796635E-01 a        53     0     3     1    13
  1.9146492723609360E-01 a        54     0     3     1    14
 -2.4392383518900340E-01 a        55     0     3     1    15
  1.7657851348723086E-01 a        56     0     3     1    16
 -2.2406470594428610E-01 a        57     0     3     1    17
 -5.6456829959798127E-01 a        58     0     3     1    18
  1.9124296701101126E-01 a        59     0     3     1    19
  3.0845058744531245E-01 a        60     0     3     1    20
 -1.7140271608473903E-01 a        61     0     4     1     1
  9.7802351950121547E-02 a        62     0     4     1     2
  5.6500809955265352E-01 a        63     0     4     1     3
  3.2334928359688825E-01 a        64     0     4     1     4
 -4.2388258658522232E-01 a        65     0     4     1     5
  8.2514453772321572E-01 a        66     0     4     1     6
 -5.6157251184181589E-01 a        67     0     4     1     7
  4.0160921841287317E-01 a        68     0     4     1     8
 -2.4230957825582469E-01 a        69     0     4     1     9
 -4.3638499731018250E-02 a        70     0     4     1    10
 -1.0918108086919537E-01 a        71     0     4     1    11
 -2.4082429911740011E-01 a        72     0     4     1    12
  1.7012820723305494E-01 a        73     0     4     1    13
  6.7343596467284017E-01 a        74     0     4     1    14
  3.3611717707350708E-01 a        75     0     4     1    15
 -2.8198856926106665E-02 a        76     0     4     1    16
 -2.4276713930588081E-01 a        77     0     4     1    17
  4.8742297419656533E-01 a        78     0     4     1    18
 -8.3112337078688175E-02 a        79     0     4     1    19
 -4.7698206932680165E-01 a        80     0     4     1    20
  5.3998668713077946E-01 a        81     0     5     1     1
  1.3599293624810410E-01 a        82     0     5     1     2
  7.1701918008161683E-02 a        83     0     5     1     3
 -4.0102001924253439E-01 a        84     0     5     1     4
  4.4538762265512954E-01 a        85     0     5     1     5
 -3.5081303323794777E-01 a        86     0     5     1     6
  2.0149227401175990E-01 a        87     0     5     1     7
 -1.7348075513958017E-01 a        88     0     5     1     8
  4.9072564782987732E-01 a        89     0     5     1     9
 -1.1278581492939876E-02 a        90     0     5     1    10
 -4.8981963019712604E-01 a        91     0     5     1    11
  2.0284129502140043E-02 a        92     0     5     1    12
  1.5620394213322325E-01 a        93     0     5     1    13
 -7.0061732556068013E-01 a        94     0     5     1    14
  2.6142383973116474E-02 a        95     0     5     1    15
 -1.5498668646101896E-01 a        96     0     5     1    16
  3.7821741070947951E-01 a        97     0     5     1    17
 -2.7222832517879136E-01 a        98     0     5     1    18
 -2.5023874552623637E-01 a        99     0     5     1    19
  2.9647293020360038E-01 a       100     0     5     1    20
 -8.9553957143323690E-03 a       101     0     6     1     1
 -1.5792710236341645E-01 a       102     0     6     1     2
  3.8397439516361626E-01 a       103     0     6     1     3
  1.0088008561804971E+00 a       104     0     6     1     4
  4.6452674929555182E-01 a       105     0     6     1     5
 -8.3265579784374030E-02 a       106     0     6     1     6
  3.7143556543143913E-02 a       107     0     6     1     7
 -2.4854830204215986E-01 a       108     0     6     1     8
 -1.8026812395623225E-02 a       109     0     6     1     9
  6.9238068305272316E-01 a       110     0     6     1    10
  1.4327088492103143E-01 a       111     0     6     1    11
  3.9984998689152235E-01 a       112     0     6     1    12
 -3.5033179869748887E-01 a       113     0     6     1    13
  5.3370581065599720E-01 a       114     0     6     1    14
  6.7574767410509037E-02 a       115     0     6     1    15
  4.3572566888452802E-01 a       116     0     6     1    16
 -2.8053585295242273E-01 a       117     0     6     1    17
  7.7719803241976793E-01 a       118     0     6     1    18
 -1.6852582286508030E-01 a       119     0     6     1    19
 -1.7759219926105192E-02 a       120     0     6     1    20
 -6.5976526407645730E-01 a       121     0     7     1     1
 -2.1302446994882726E-01 a       122     0     7     1     2
  2.3057375245136977E-01 a       123     0     7     1     3
  8.2372806826714148E-02 a       124     0     7     1     4
 -2.4432721010513178E-01 a       125     0     7     1     5
  2.5231012027249478E-01 a       126     0     7     1     6
 -1.7762415667487402E-01 a       127     0     7     1     7
 -2.1197362178281931E-01 a       128     0     7     1     8
 -4.9600415866263037E-01 a       129     0     7     1     9
 -3.2941189983413205E-01 a       130     0     7     1    10
 -2.9369062044953737E-01 a       131     0     7     1    11
 -3.4322178586367069E-01 a       132     0     7     1    12
 -2.4094181239682055E-01 a       133     0     7     1    13
  5.0811422993138056E-01 a       134     0     7     1    14
 -3.8440070302029111E-01 a       135     0     7     1    15
 -4.8142205252177647E-02 a       136     0     7     1    16
  2.3339982699481777E-02 a       137     0     7     1    17
 -3.2487790209251982E-01 a       138     0     7     1    18
  4.7625350475840968E-02 a       139     0     7     1    19
 -9.9870529117469325E-02 a       140     0     7     1    20
 -1.0461734318670984E-01 a       141     0     8     1     1
  4.4362563293444562E-01 a       142     0     8     1     2
 -6.7258136767145468E-02 a       143     0     8     1     3
 -4.2999363338945429E-01 a       144     0     8     1     4
  3.0148010023639527E-02 a       145     0     8     1     5
 -1.4242517461642795E-01 a       146     0     8     1     6
 -2.5040416040419977E-01 a       147     0     8     1     7
 -4.3644017077796587E-01 a       148     0     8     1     8
  2.5715091611014557E-01 a       149     0     8     1     9
 -1.9892978730332952E-01 a       150     0     8     1    10
  1.6414602175250221E-02 a       151     0     8     1    11
 -8.2667655639518645E-01 a       152     0     8     1    12
  5.5297472006121484E-01 a       153     0     8     1    13
 -7.3545153897398508E-01 a       154     0     8     1    14
  1.1958246547570960E-01 a       155     0     8     1    15
 -1.0587854810031871E+00 a       156     0     8     1    16
  6.9990844565627985E-01 a       157     0     8     1    17
 -4.0338518526569711E-01 a       158     0     8     1    18
  5.1914395257334967E-01 a       159     0     8     1    19
  1.9665033812863877E-01 a       160     0     8     1    20
 -2.6330797714844645E-01 a       161     0     9     1     1
 -1.0366058243621290E-01 a       162     0     9     1     2
  1.1078064606578508E-01 a       163     0     9     1     3
 -3.3165181912908043E-02 a       164     0     9     1     4
  8.4196220972224262E-02 a       165     0     9     1     5
