################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5700763992594330E-01 a         1     0     1     1     1
 -3.0039187063903833E-01 a         2     0     1     1     2
 -1.5532617441752145E-01 a         3     0     1     1     3
 -1.0672713546407759E+00 a         4     0     1     1     4
  1.3403900556060153E+00 a         5     0     1     1     5
  1.9351774342979591E-01 a         6     0     1     1     6
  1.1207875363401691E+00 a         7     0     1     1     7
 -5.0035819664949521E-01 a         8     0     1     1     8
  1.7198897992229634E+00 a         9     0     1     1     9
  5.8881211514216804E-02 a        10     0     1     1    10
  4.2229830201436230E-01 a        11     0     1     1    11
 -3.4332403293196073E-01 a        12     0     1     1    12
  6.2042203384725791E-01 a        13     0     1     1    13
 -1.1570305932666116E+00 a        14     0     1     1    14
  9.5215535700837628E-01 a        15     0     1     1    15
  5.2192325314094490E-01 a        16     0     1     1    16
 -4.9982173948090575E-01 a        17     0     1     1    17
  1.3213869144530954E-01 a        18     0     1     1    18
  4.1455116472397974E-01 a        19     0     1     1    19
 -5.6459766567741032E-01 a        20     0     1     1    20
 -5.3558094889569574E-01 a        21     0     2     1     1
  2.2235065444963958E-01 a        22     0     2     1     2
  3.9952309336660508E-01 a        23     0     2     1     3
  1.0302149111945560E+00 a        24     0     2     1     4
 -9.9464204757687280E-01 a        25     0     2     1     5
  1.0859852025929575E+00 a        26     0     2     1     6
 -1.1053790622262099E+00 a        27     0     2     1     7
  6.5140909810754419E-02 a        28     0     2     1     8
 -1.1205051462316307E+00 a        29     0     2     1     9
  3.3643783232527363E-01 a        30     0     2     1    10
 -5.9289249855653681E-01 a        31     0     2     1    11
  3.5234763696380861E-01 a        32     0     2     1    12
 -1.3708774618351238E+00 a        33     0     2     1    13
  4.5211794275652478E-01 a        34     0     2     1    14
 -9.8038289335395035E-01 a        35     0     2     1    15
 -5.8496829911494042E-01 a        36     0     2     1    16
  5.1211518255640320E-01 a        37     0     2     1    17
 -3.9857852446733899E-01 a        38     0     2     1    18
 -4.9893662223069823E-01 a        39     0     2     1    19
  9.5962378160913395E-02 a        40     0     2     1    20
 -2.3221304003772977E-02 a        41     0     3     1     1
  8.9188247194602199E-01 a        42     0     3     1     2
  3.8301179474349960E-02 a        43     0     3     1     3
  1.6290373433795205E-01 a        44     0     3     1     4
  8.0105112894981578E-01 a        45     0     3     1     5
 -5.6140785047631270E-01 a        46     0     3     1     6
 -6.8426893779797071E-01 a        47     0     3     1     7
  4.7731762790802920E-02 a        48     0     3     1     8
  2.7232288484447886E-01 a        49     0     3     1     9
 -1.0723896166994691E-01 a        50     0     3     1    10
  3.2458548277782262E-01 a        51     0     3     1    11
  1.1083265513682404E-01 a        52     0     3     1    12
 -6.2975020295039088E-03 a        53     0     3     1    13
  1.7645384135670847E-01 a        54     0     3     1    14
  1.1770112369301511E-01 a        55     0     3     1    15
  2.1330812734300914E-01 a        56     0     3     1    16
 -9.9114293116838004E-02 a        57     0     3     1    17
  1.9302713041151454E-01 a        58     0     3     1    18
  5.9438107503404036E-01 a        59     0     3     1    19
 -1.9002427316092690E-01 a        60     0     3     1    20
  4.9748400602440163E-01 a        61     0     4     1     1
 -3.7450786880129783E-01 a        62     0     4     1     2
 -2.0641183335025126E-01 a        63     0     4     1     3
 -7.7865262307880778E-01 a        64     0     4     1     4
 -1.1176425105383311E-01 a        65     0     4     1     5
  8.7236754130315369E-02 a        66     0     4     1     6
  3.3653264776913533E-01 a        67     0     4     1     7
 -1.3325103771548732E-01 a        68     0     4     1     8
 -3.8293636819696675E-01 a        69     0     4     1     9
 -3.8385956818911859E-01 a        70     0     4     1    10
  4.1800324916173574E-02 a        71     0     4     1    11
 -2.9442898486776118E-02 a        72     0     4     1    12
  4.0054698081013036E-02 a        73     0     4     1    13
  2.9892622784486872E-01 a        74     0     4     1    14
 -4.8570722860862323E-02 a        75     0     4     1    15
  3.9501871959517286E-02 a        76     0     4     1    16
 -2.0853465513903416E-01 a        77     0     4     1    17
  4.8514889955140984E-03 a        78     0     4     1    18
  3.1297539094097671E-01 a        79     0     4     1    19
  2.4201925458337153E-01 a        80     0     4     1    20
 -3.6251615122013164E-01 a        81     0     5     1     1
  1.0628909855509008E+00 a        82     0     5     1     2
 -2.7706567108083047E-01 a        83     0     5     1     3
  1.1942379117996931E+00 a        84     0     5     1     4
 -1.2954688956669327E-01 a        85     0     5     1     5
 -3.6641678200619704E-01 a        86     0     5     1     6
 -5.9181194117768443E-01 a        87     0     5     1     7
 -4.2636076078887336E-01 a        88     0     5     1     8
  2.5807640938546500E-01 a        89     0     5     1     9
  1.8001382878772060E-01 a        90     0     5     1    10
 -1.0220954745505079E-01 a        91     0     5     1    11
 -5.7327391551316463E-02 a        92     0     5     1    12
 -1.7273292934371065E-01 a        93     0     5     1    13
  7.0287082303765780E-01 a        94     0     5     1    14
 -7.6017631309383149E-01 a        95     0     5     1    15
 -4.9130970272375790E-01 a        96     0     5     1    16
 -1.2036837374657408E-01 a        97     0     5     1    17
 -4.7366291038847264E-01 a        98     0     5     1    18
  4.1420951155542346E-01 a        99     0     5     1    19
  4.5606109925699773E-01 a       100     0     5     1    20
  5.6107501021584238E-01 a       101     0     6     1     1
 -5.4902518063224970E-01 a       102     0     6     1     2
  5.8937512677337690E-02 a       103     0     6     1     3
 -1.1659356551964504E+00 a       104     0     6     1     4
  1.4560602895425775E-01 a       105     0     6     1     5
  5.5725615241414783E-01 a       106     0     6     1     6
  8.0891432574771283E-01 a       107     0     6     1     7
  1.8269033579122362E-01 a       108     0     6     1     8
  8.3735252004233041E-01 a       109     0     6     1     9
 -3.5625503036065015E-01 a       110     0     6     1    10
  5.4978677821048716E-01 a       111     0     6     1    11
  6.2089270235725380E-01 a       112     0     6     1    12
  5.1678049191184150E-01 a       113     0     6     1    13
 -3.1841480035688169E-01 a       114     0     6     1    14
  1.4068179367150307E-01 a       115     0     6     1    15
  8.0758324960342220E-01 a       116     0     6     1    16
 -8.2970502041171119E-04 a       117     0     6     1    17
  7.4933288721425628E-02 a       118     0     6     1    18
  2.5074612007577374E-01 a       119     0     6     1    19
  4.5636860139420332E-01 a       120     0     6     1    20
  8.7725358192297020E-01 a       121     0     7     1     1
 -5.4312803173594293E-01 a       122     0     7     1     2
  6.2811170998436217E-01 a       123     0     7     1     3
 -4.3499108223223942E-01 a       124     0     7     1     4
  1.2378131631338349E-01 a       125     0     7     1     5
 -4.3998922200220919E-01 a       126     0     7     1     6
  5.1444676219269747E-01 a       127     0     7     1     7
  2.8629047157827653E-01 a       128     0     7     1     8
  6.4307276978329386E-01 a       129     0     7     1     9
  3.2805446183911852E-01 a       130     0     7     1    10
 -3.4480878676725646E-01 a       131     0     7     1    11
 -1.1506506140840064E-01 a       132     0     7     1    12
  4.7975785865164572E-01 a       133     0     7     1    13
 -5.8486862864127165E-01 a       134     0     7     1    14
  1.4274234169931818E-01 a       135     0     7     1    15
 -8.9207688173436009E-02 a       136     0     7     1    16
 -1.9440373166600869E-01 a       137     0     7     1    17
 -1.7152864134479343E-01 a       138     0     7     1    18
  1.7695862116464137E-01 a       139     0     7     1    19
  1.3291941205921570E-01 a       140     0     7     1    20
 -3.3483680370562036E-01 a       141     0     8     1     1
  3.6269790038957855E-01 a       142     0     8     1     2
 -3.0652094982284378E-01 a       143     0     8     1     3
 -4.2801134982689665E-01 a       144     0     8     1     4
 -1.4689096841162422E-01 a       145     0     8     1     5
 -1.0617937609561828E-01 a       146     0     8     1     6
 -1.3630837037125054E-01 a       147     0     8     1     7
 -4.0218952536037753E-03 a       148     0     8     1     8
  1.2223760507080857E-01 a       149     0     8     1     9
 -4.7893797306849067E-01 a       150     0     8     1    10
 -2.2972786368455081E-01 a       151     0     8     1    11
  3.6931225971272491E-01 a       152     0     8     1    12
  2.5391608386942949E-01 a       153     0     8     1    13
 -1.1263177674958746E+00 a       154     0     8     1    14
  1.0142959985709241E+00 a       155     0     8     1    15
 -7.4700243661972010E-01 a       156     0     8     1    16
  2.9177860630145264E-01 a       157     0     8     1    17
  1.4630410275233680E-01 a       158     0     8     1    18
  2.0334516508015148E-02 a       159     0     8     1    19
 -4.4957185002701838E-01 a       160     0     8     1    20
 -2.0922628183971234E-01 a       161     0     9     1     1
 -4.7591314201597945E-01 a       162     0     9     1     2
  1.7952485601769058E-01 a       163     0     9     1     3
  8.8895793052485371E-05 a       164     0     9     1     4
  3.4929166603835859E-01 a       165     0     9     1     5
  2.5932711431064548E-01 a       166     0     9     1     6
 -9.8454238882830947E-01 a       167     0     9     1     7
 -3.8772260631211464E-01 a       168     0     9     1     8
  9.2023891811694014E-02 a       169     0     9     1     9
  5.8397546411202081E-02 a       170     0     9     1    10
  2.6713097794832226E-02 a       171     0     9     1    11
  1.2029809276975920E-01 a       172     0     9     1    12
 -2.1414862276946077E-02 a       173     0     9     1    13
  3.9259650908358401E-01 a       174     0     9     1    14
 -1.2872987353610846E-01 a       175     0     9     1    15
  3.6650785391413421E-01 a       176     0     9     1    16
 -3.5430215207994181E-01 a       177     0     9     1    17
 -3.2064737379931832E-02 a       178     0     9     1    18
