################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0946230173445199E+00 a         1     0     1     1     1
 -1.9324164736560989E+00 a         2     0     1     1     2
  7.8058488781916668E-01 a         3     0     1     1     3
 -2.9138518592068313E-01 a         4     0     1     1     4
  1.4764801777075327E+00 a         5     0     1     1     5
  9.5833937645526293E-02 a         6     0     1     1     6
 -2.9589738005400507E-01 a         7     0     1     1     7
  1.1733792477820495E+00 a         8     0     1     1     8
 -6.1288353505316151E-01 a         9     0     1     1     9
  9.0403970988751037E-01 a        10     0     1     1    10
 -4.3327719356917727E-01 a        11     0     1     1    11
 -3.1977753890787264E-01 a        12     0     1     1    12
  7.1591064342789801E-01 a        13     0     1     1    13
  4.7635876568580776E-01 a        14     0     1     1    14
 -9.9962160819830304E-01 a        15     0     1     1    15
 -4.7536618447551349E-01 a        16     0     1     1    16
  4.3012939039920245E-01 a        17     0     1     1    17
  3.7078547065441031E-01 a        18     0     1     1    18
 -1.2458081000508738E-01 a        19     0     1     1    19
  2.3863762337876648E-01 a        20     0     1     1    20
 -7.9904189986359481E-02 a        21     0     2     1     1
  2.0748700802728335E+00 a        22     0     2     1     2
 -4.4616443709215477E-03 a        23     0     2     1     3
 -2.5798773378917028E-01 a        24     0     2     1     4
 -1.3579599722478279E+00 a        25     0     2     1     5
  1.0293611649037140E-01 a        26     0     2     1     6
 -7.1213352129426155E-01 a        27     0     2     1     7
 -8.5668331314726043E-01 a        28     0     2     1     8
  8.8512387526194081E-01 a        29     0     2     1     9
 -6.1944890070818737E-01 a        30     0     2     1    10
 -2.8643169259049817E-01 a        31     0     2     1    11
  5.1508400579656266E-01 a        32     0     2     1    12
 -6.9366323878846248E-01 a        33     0     2     1    13
 -1.7308234648816972E-01 a        34     0     2     1    14
  7.3822878655792601E-01 a        35     0     2     1    15
  8.2810614875110167E-01 a        36     0     2     1    16
 -5.3894746852433228E-01 a        37     0     2     1    17
  3.1159254933197933E-02 a        38     0     2     1    18
  9.7199144273004079E-02 a        39     0     2     1    19
 -2.5741647463678047E-01 a        40     0     2     1    20
  4.5772354548776800E-01 a        41     0     3     1     1
  1.2519978080735622E-01 a        42     0     3     1     2
  9.4105256989283931E-02 a        43     0     3     1     3
 -4.3841734411867472E-01 a        44     0     3     1     4
  3.3043686074443623E-01 a        45     0     3     1     5
  8.2840680724699711E-01 a        46     0     3     1     6
 -2.3322819513027013E-01 a        47     0     3     1     7
  1.9268599548939871E-01 a        48     0     3     1     8
 -4.4711486335766054E-01 a        49     0     3     1     9
  9.1173535880053269E-01 a        50     0     3     1    10
  2.1930435385607294E-01 a        51     0     3     1    11
  6.4727115977722557E-02 a        52     0     3     1    12
  1.1092733703350138E-01 a        53     0     3     1    13
 -9.4936522064399520E-01 a        54     0     3     1    14
 -1.8149727331575480E-01 a        55     0     3     1    15
 -1.2727629529650111E-01 a        56     0     3     1    16
  1.0332248845394953E-01 a        57     0     3     1    17
  1.9141614740840207E-01 a        58     0     3     1    18
  1.5938877659004214E-01 a        59     0     3     1    19
 -6.8706000829353142E-01 a        60     0     3     1    20
 -5.8921637042785746E-01 a        61     0     4     1     1
 -3.9926332798561437E-01 a        62     0     4     1     2
  2.3039078642952940E-01 a        63     0     4     1     3
 -3.1621156842120429E-01 a        64     0     4     1     4
 -1.4038759148244052E-02 a        65     0     4     1     5
 -2.7677715240222533E-01 a        66     0     4     1     6
 -2.4904860478380239E-01 a        67     0     4     1     7
 -6.8624053127054496E-02 a        68     0     4     1     8
 -3.4468572356272481E-01 a        69     0     4     1     9
 -2.0149572850907219E-01 a        70     0     4     1    10
 -1.2539663669128745E-01 a        71     0     4     1    11
