################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7502994153200883E-01 a         1     0     1     1     1
 -3.0401068281940713E-01 a         2     0     1     1     2
 -6.0371173371977727E-01 a         3     0     1     1     3
 -7.4229704095505666E-02 a         4     0     1     1     4
  8.1114532764409372E-02 a         5     0     1     1     5
 -3.9257272896931017E-01 a         6     0     1     1     6
 -1.0919650205285280E-02 a         7     0     1     1     7
 -5.5808176892682559E-01 a         8     0     1     1     8
 -6.9306958807405894E-02 a         9     0     1     1     9
  9.5066594823883110E-01 a        10     0     1     1    10
  4.6715933167107415E-01 a        11     0     1     1    11
  3.0026515324918440E-01 a        12     0     1     1    12
 -1.0758515828189212E+00 a        13     0     1     1    13
 -1.0181859886345574E+00 a        14     0     1     1    14
  1.7027179599332007E-01 a        15     0     1     1    15
  3.1136687880668177E-02 a        16     0     1     1    16
  5.3305900541053730E-01 a        17     0     1     1    17
 -1.7878809567708437E-01 a        18     0     1     1    18
  3.3188979474440555E-01 a        19     0     1     1    19
 -1.1256627911359529E+00 a        20     0     1     1    20
  2.4613256246378068E-01 a        21     0     2     1     1
 -1.0015108979083445E-01 a        22     0     2     1     2
  2.0344292612014838E+00 a        23     0     2     1     3
  1.2733195081509519E-01 a        24     0     2     1     4
 -5.6788464753381473E-01 a        25     0     2     1     5
 -2.2423801713881728E-02 a        26     0     2     1     6
 -3.2771261408810942E-01 a        27     0     2     1     7
  5.4660017479570233E-01 a        28     0     2     1     8
 -1.2282041418605479E-01 a        29     0     2     1     9
 -5.4766741918675377E-01 a        30     0     2     1    10
 -4.2678665102849805E-01 a        31     0     2     1    11
 -6.0021872541834576E-01 a        32     0     2     1    12
  1.0565985556503934E+00 a        33     0     2     1    13
  8.9697901997232021E-01 a        34     0     2     1    14
  1.4872739937208808E-02 a        35     0     2     1    15
  4.4991706147652973E-02 a        36     0     2     1    16
 -5.6315952067888309E-01 a        37     0     2     1    17
  5.4565082310347797E-02 a        38     0     2     1    18
  2.5894956776225619E-01 a        39     0     2     1    19
  1.3781883718112560E+00 a        40     0     2     1    20
 -2.4929999648287285E-01 a        41     0     3     1     1
  8.0243602634214969E-02 a        42     0     3     1     2
 -6.3912201677553815E-01 a        43     0     3     1     3
 -9.9320510045967189E-02 a        44     0     3     1     4
 -2.2738439493891391E-01 a        45     0     3     1     5
 -4.5068165092967932E-01 a        46     0     3     1     6
 -1.1190254498213309E-01 a        47     0     3     1     7
 -2.7220460905014715E-01 a        48     0     3     1     8
 -3.7155496184793574E-01 a        49     0     3     1     9
 -1.5288565355862332E-01 a        50     0     3     1    10
  1.6709517028215090E-01 a        51     0     3     1    11
 -1.2891896400249886E-01 a        52     0     3     1    12
  3.9176114191583089E-01 a        53     0     3     1    13
  3.7471626021418880E-01 a        54     0     3     1    14
  1.1611127238371555E-01 a        55     0     3     1    15
 -2.3654328456638246E-01 a        56     0     3     1    16
  1.1244760494335898E-01 a        57     0     3     1    17
 -1.5416929265363652E-01 a        58     0     3     1    18
 -2.9746596918001195E-01 a        59     0     3     1    19
 -1.9074005158904925E-01 a        60     0     3     1    20
 -6.4216484550897779E-01 a        61     0     4     1     1
  2.0344092310379033E-01 a        62     0     4     1     2
 -6.6397320938454940E-01 a        63     0     4     1     3
  5.1090819029841528E-01 a        64     0     4     1     4
 -4.8754465824823075E-02 a        65     0     4     1     5
  9.9557641156895360E-01 a        66     0     4     1     6
  6.4297201523073111E-02 a        67     0     4     1     7
  6.2910302381742156E-01 a        68     0     4     1     8
  5.7208384241519117E-01 a        69     0     4     1     9
  6.8335717868458226E-02 a        70     0     4     1    10
  9.9567201448422918E-02 a        71     0     4     1    11
  4.0493808452560676E-01 a        72     0     4     1    12
 -2.7793027333040293E-01 a        73     0     4     1    13
  1.4930701964452953E-01 a        74     0     4     1    14
 -1.7710531814071220E-01 a        75     0     4     1    15
  6.9605047585559798E-02 a        76     0     4     1    16
  6.6235275370043513E-03 a        77     0     4     1    17
  2.0085179075841253E-01 a        78     0     4     1    18
 -2.4298456618363731E-01 a        79     0     4     1    19
  8.5936436290789042E-01 a        80     0     4     1    20
  3.6079074958439172E-01 a        81     0     5     1     1
 -4.9475081641831836E-01 a        82     0     5     1     2
  5.1792786049443651E-01 a        83     0     5     1     3
  3.9212454500830335E-01 a        84     0     5     1     4
 -1.5861751605818212E-02 a        85     0     5     1     5
 -4.1448146872510488E-01 a        86     0     5     1     6
  6.7733666313981276E-04 a        87     0     5     1     7
 -1.0669077631198753E-01 a        88     0     5     1     8
  2.8494235886844427E-01 a        89     0     5     1     9
 -1.4409353160474161E-01 a        90     0     5     1    10
 -3.5179619566681763E-01 a        91     0     5     1    11
  4.4783382115686290E-02 a        92     0     5     1    12
  2.4988423746576963E-01 a        93     0     5     1    13
  1.8034418508678890E-01 a        94     0     5     1    14
 -2.1615613712391629E-01 a        95     0     5     1    15
  5.4597691856057773E-01 a        96     0     5     1    16
 -1.2008466155977215E-01 a        97     0     5     1    17
 -4.4316921479508631E-01 a        98     0     5     1    18
 -8.6930063221177287E-02 a        99     0     5     1    19
 -4.3890007950533622E-01 a       100     0     5     1    20
  5.1269812965766037E-01 a       101     0     6     1     1
 -4.9383835914801927E-01 a       102     0     6     1     2
  8.3173546457916678E-02 a       103     0     6     1     3
  5.2286088238426461E-02 a       104     0     6     1     4
  2.2785917698046089E-03 a       105     0     6     1     5
  2.3207619788804082E-01 a       106     0     6     1     6
  5.8419028455844929E-02 a       107     0     6     1     7
 -1.8824678995131341E-01 a       108     0     6     1     8
 -2.3674124550704886E-02 a       109     0     6     1     9
  6.0395999235200759E-01 a       110     0     6     1    10
  3.5583907069366921E-01 a       111     0     6     1    11
  1.3348896776201233E-01 a       112     0     6     1    12
 -4.7314463900924403E-01 a       113     0     6     1    13
 -4.2002607541508702E-01 a       114     0     6     1    14
  6.0302504481205388E-01 a       115     0     6     1    15
  4.9546874548527309E-01 a       116     0     6     1    16
 -3.4496954502755854E-02 a       117     0     6     1    17
 -1.8061922033256499E-02 a       118     0     6     1    18
 -3.3972297272399232E-01 a       119     0     6     1    19
  2.8277074015552281E-02 a       120     0     6     1    20
 -5.7105122276268860E-01 a       121     0     7     1     1
 -5.7457196854220759E-02 a       122     0     7     1     2
  4.7191806904012634E-01 a       123     0     7     1     3
  2.7772671955894629E-01 a       124     0     7     1     4
  2.1342703724140055E-01 a       125     0     7     1     5
 -5.7492798170927562E-01 a       126     0     7     1     6
  1.3273133013902566E-01 a       127     0     7     1     7
  6.1285454752408930E-01 a       128     0     7     1     8
 -4.1184310786831663E-01 a       129     0     7     1     9
 -6.2762453386981373E-02 a       130     0     7     1    10
 -3.3976671964150817E-01 a       131     0     7     1    11
  4.7828497496384287E-01 a       132     0     7     1    12
 -6.8965772209293397E-01 a       133     0     7     1    13
 -7.0457472634442120E-01 a       134     0     7     1    14
  2.2680454465029393E-02 a       135     0     7     1    15
 -4.8692200280513009E-01 a       136     0     7     1    16
 -7.3074854748643822E-02 a       137     0     7     1    17
  1.6119172666205334E-01 a       138     0     7     1    18
  8.1759081299412964E-02 a       139     0     7     1    19
 -1.8143804081469134E-01 a       140     0     7     1    20
 -3.7585443650963873E-01 a       141     0     8     1     1
 -8.4046568636602159E-01 a       142     0     8     1     2
  4.1193185014736944E-01 a       143     0     8     1     3
  8.6373323350639672E-02 a       144     0     8     1     4
  2.0499158386362487E-01 a       145     0     8     1     5
 -5.5718665703523396E-01 a       146     0     8     1     6
  8.0382926120234777E-01 a       147     0     8     1     7
 -9.5850903871811097E-02 a       148     0     8     1     8
 -3.1343634102845519E-01 a       149     0     8     1     9
 -3.6539195315869410E-01 a       150     0     8     1    10
 -6.2034521818725463E-01 a       151     0     8     1    11
  3.8083684482055624E-02 a       152     0     8     1    12
  3.2347872722198795E-01 a       153     0     8     1    13
 -1.8852269563152702E-01 a       154     0     8     1    14
 -1.6056385511841544E-02 a       155     0     8     1    15
 -2.8728876669104375E-01 a       156     0     8     1    16
 -2.4088304256124404E-02 a       157     0     8     1    17
 -2.2399121624543067E-01 a       158     0     8     1    18
  3.1352527651669826E-01 a       159     0     8     1    19
 -5.2642308758028300E-01 a       160     0     8     1    20
 -7.2977682554075607E-02 a       161     0     9     1     1
  3.9974471840948861E-01 a       162     0     9     1     2
  2.5295238584028745E-01 a       163     0     9     1     3
  1.8649314903374251E-01 a       164     0     9     1     4
 -2.6973607103892472E-01 a       165     0     9     1     5
  5.9504185821668620E-01 a       166     0     9     1     6
 -8.5990892551774806E-02 a       167     0     9     1     7
  1.0496165594498902E-01 a       168     0     9     1     8
  1.6132693908523232E-01 a       169     0     9     1     9
  4.7059242258609646E-01 a       170     0     9     1    10
  7.9727182107761450E-03 a       171     0     9     1    11
  1.8106913011347173E-01 a       172     0     9     1    12
 -3.3376176374739358E-03 a       173     0     9     1    13
  4.2495418781661111E-02 a       174     0     9     1    14
  5.3363131651811307E-02 a       175     0     9     1    15
  3.9195565036698049E-01 a       176     0     9     1    16
 -6.7952457685837603E-02 a       177     0     9     1    17
 -1.5359084259032621E-01 a       178     0     9     1    18
 -2.4396970232881207E-01 a       179     0     9     1    19
  7.6579335810453997E-01 a       180     0     9     1    20
  9.6032031411039508E-03 a       181     0    10     1     1
 -1.9305757693505579E-01 a       182     0    10     1     2
  5.8828185224639199E-03 a       183     0    10     1     3
 -2.0361785141175734E-01 a       184     0    10     1     4
  4.8212629544226948E-02 a       185     0    10     1     5
  3.6823698168279961E-01 a       186     0    10     1     6
 -3.0111530999301833E-01 a       187     0    10     1     7
  1.6765139622837474E-01 a       188     0    10     1     8
  1.6955272940290356E-01 a       189     0    10     1     9
  1.0030103667136074E-01 a       190     0    10     1    10
  1.5713036508252234E-01 a       191     0    10     1    11
  6.0778015460334041E-03 a       192     0    10     1    12
  1.4058576477238555E-01 a       193     0    10     1    13
  6.2992161787022172E-01 a       194     0    10     1    14
 -2.2027999850290406E-01 a       195     0    10     1    15
  3.7364739066639124E-01 a       196     0    10     1    16
  2.5997492220759272E-01 a       197     0    10     1    17
  3.7272758467600409E-01 a       198     0    10     1    18
 -2.3433803951029006E-01 a       199     0    10     1    19
  4.6503041805975598E-01 a       200     0    10     1    20
  2.1374075101423423E-01 a       201     0    11     1     1
  3.9512406978331288E-01 a       202     0    11     1     2
 -1.8734247973343259E-02 a       203     0    11     1     3
 -1.5620653288514827E-01 a       204     0    11     1     4
 -2.3074259770048806E-02 a       205     0    11     1     5
  5.2569981291832768E-02 a       206     0    11     1     6
  2.8221099375362071E-02 a       207     0    11     1     7
  2.9739069705872168E-01 a       208     0    11     1     8
  1.4423487790331715E-01 a       209     0    11     1     9
 -1.2462203483813128E+00 a       210     0    11     1    10
 -2.6805171357865137E-01 a       211     0    11     1    11
  6.9746294696137834E-01 a       212     0    11     1    12
  2.1512708681329459E-01 a       213     0    11     1    13
 -3.4565151940054911E-02 a       214     0    11     1    14
  1.0965334630249728E+00 a       215     0    11     1    15
  6.6356668841284372E-01 a       216     0    11     1    16
 -2.5915154412397373E-01 a       217     0    11     1    17
  2.3119486494571535E-02 a       218     0    11     1    18
 -1.1436584343311679E-01 a       219     0    11     1    19
  2.5087154112023006E-02 a       220     0    11     1    20
  2.7677298930704582E-02 a       221     0    12     1     1
  5.5399778279315892E-01 a       222     0    12     1     2
 -1.4763792489862079E-01 a       223     0    12     1     3
  2.2202213495235235E-01 a       224     0    12     1     4
  2.2624512745403719E-01 a       225     0    12     1     5
 -3.3032403880203653E-01 a       226     0    12     1     6
 -4.2733586058996986E-01 a       227     0    12     1     7
 -2.6360151753482058E-01 a       228     0    12     1     8
  2.5647392645258371E-01 a       229     0    12     1     9
 -1.7236053721645825E-01 a       230     0    12     1    10
  2.4067163125196317E-01 a       231     0    12     1    11
  2.2297360208611669E-01 a       232     0    12     1    12
  5.7996838725288477E-03 a       233     0    12     1    13
 -5.7694373715916569E-02 a       234     0    12     1    14
 -3.3717852631426209E-01 a       235     0    12     1    15
 -1.5728108242776614E-01 a       236     0    12     1    16
 -2.4926966645875390E-01 a       237     0    12     1    17
  2.6076351167738776E-01 a       238     0    12     1    18
 -2.0530715583885470E-01 a       239     0    12     1    19
 -3.0477625882178394E-01 a       240     0    12     1    20
 -3.0820095491298560E-01 a       241     0    13     1     1
 -3.0263469191845110E-01 a       242     0    13     1     2
  2.2259111978311269E-01 a       243     0    13     1     3
 -2.3628143463508630E-01 a       244     0    13     1     4
 -2.8475359523499838E-01 a       245     0    13     1     5
  1.4360396968602543E-01 a       246     0    13     1     6
  8.6634228305993932E-02 a       247     0    13     1     7
 -3.5434977226389092E-01 a       248     0    13     1     8
 -1.1417180032618479E-01 a       249     0    13     1     9
  1.1384875932351837E+00 a       250     0    13     1    10
 -6.8053332396130273E-01 a       251     0    13     1    11
 -3.2258390345189769E-01 a       252     0    13     1    12
 -1.0672997876821665E-01 a       253     0    13     1    13
  7.4803812915875723E-01 a       254     0    13     1    14
 -1.3708867199770602E-01 a       255     0    13     1    15
 -1.0232502110977011E+00 a       256     0    13     1    16
  2.1428082477495303E-01 a       257     0    13     1    17
 -4.7499036269542105E-01 a       258     0    13     1    18
 -6.3657269152391405E-01 a       259     0    13     1    19
  2.6832733350222226E-01 a       260     0    13     1    20
 -7.9852756631215627E-01 a       261     0    14     1     1
 -5.6356892627737099E-01 a       262     0    14     1     2
  7.7948405937549159E-01 a       263     0    14     1     3
  4.9048300318065724E-01 a       264     0    14     1     4
 -1.3801517651383524E-01 a       265     0    14     1     5
 -6.7023403383616853E-01 a       266     0    14     1     6
  4.9878844496534158E-01 a       267     0    14     1     7
  3.5595483475873968E-01 a       268     0    14     1     8
 -2.4443599685636186E-01 a       269     0    14     1     9
  3.6522614345114207E-01 a       270     0    14     1    10
 -1.1105908264735562E+00 a       271     0    14     1    11
  9.5960271906676928E-02 a       272     0    14     1    12
 -2.9560231198717135E-01 a       273     0    14     1    13
 -1.5668289471949842E-01 a       274     0    14     1    14
 -1.4813808479392396E-01 a       275     0    14     1    15
  3.8092883824406437E-01 a       276     0    14     1    16
  6.7729356781035355E-01 a       277     0    14     1    17
