################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.1044082500648221E-01 a         1     0     1     1     1
 -3.6166108933839020E-01 a         2     0     1     1     2
 -1.8296677175909098E-01 a         3     0     1     1     3
 -1.9523774864698060E-01 a         4     0     1     1     4
  2.5906395117267211E-01 a         5     0     1     1     5
  1.2604197452011270E+00 a         6     0     1     1     6
 -2.3147905137561453E-01 a         7     0     1     1     7
  4.0876151788672943E-01 a         8     0     1     1     8
  2.4568442306099963E-01 a         9     0     1     1     9
  5.0497725486500677E-01 a        10     0     1     1    10
 -3.3457724244970016E-01 a        11     0     1     1    11
  2.1886605481931016E+00 a        12     0     1     1    12
 -1.6670464094052756E-01 a        13     0     1     1    13
 -4.8926150285716841E-01 a        14     0     1     1    14
 -1.7785347511143801E+00 a        15     0     1     1    15
 -1.0416743177032388E+00 a        16     0     1     1    16
 -2.3277231729284156E-02 a        17     0     1     1    17
  6.1687775321483555E-02 a        18     0     1     1    18
  2.3476775918205348E-01 a        19     0     1     1    19
  2.4910640591596678E-01 a        20     0     1     1    20
 -2.2399221531544822E-01 a        21     0     2     1     1
 -3.4444653232658717E-01 a        22     0     2     1     2
 -3.0465437225555009E-01 a        23     0     2     1     3
  1.0998137956684845E-01 a        24     0     2     1     4
 -1.4575762405069692E-01 a        25     0     2     1     5
 -9.6328538102200689E-01 a        26     0     2     1     6
  6.1282819511338915E-01 a        27     0     2     1     7
 -1.2932578686102011E-01 a        28     0     2     1     8
  2.0577029426426124E-01 a        29     0     2     1     9
 -3.3989106442549083E-01 a        30     0     2     1    10
 -1.5967385487618624E-01 a        31     0     2     1    11
 -1.7845584063080768E+00 a        32     0     2     1    12
  1.1979066050441333E-02 a        33     0     2     1    13
  2.7846323867023681E-01 a        34     0     2     1    14
  9.8425107777490306E-01 a        35     0     2     1    15
  4.0871883966396605E-01 a        36     0     2     1    16
 -1.9281070427923855E-01 a        37     0     2     1    17
 -8.4184856717403334E-01 a        38     0     2     1    18
 -4.5869762938971470E-01 a        39     0     2     1    19
 -4.2005759190189153E-02 a        40     0     2     1    20
  9.9727047519577949E-02 a        41     0     3     1     1
  1.4154865741509240E-01 a        42     0     3     1     2
  1.8995083412730049E-01 a        43     0     3     1     3
 -9.6714620591674100E-02 a        44     0     3     1     4
 -2.3863858497188944E-01 a        45     0     3     1     5
 -7.1971388284101975E-02 a        46     0     3     1     6
 -3.6842556239377725E-02 a        47     0     3     1     7
  2.5930449669748851E-01 a        48     0     3     1     8
 -6.7765713082445195E-02 a        49     0     3     1     9
 -2.1024035220065698E-01 a        50     0     3     1    10
 -2.6812540885729141E-01 a        51     0     3     1    11
 -3.3623153318962748E-02 a        52     0     3     1    12
  6.2708353579435772E-01 a        53     0     3     1    13
 -5.0228876830471558E-01 a        54     0     3     1    14
 -1.4363837084627604E+00 a        55     0     3     1    15
  5.8125749021128759E-01 a        56     0     3     1    16
  2.8461514848437449E-02 a        57     0     3     1    17
 -1.8923827538972493E-01 a        58     0     3     1    18
  1.7408547692606810E-01 a        59     0     3     1    19
 -8.2468445672909441E-01 a        60     0     3     1    20
 -1.5060750204053913E-01 a        61     0     4     1     1
  5.7790149637821542E-01 a        62     0     4     1     2
 -2.0290066613146215E-01 a        63     0     4     1     3
 -9.5014379529976850E-02 a        64     0     4     1     4
 -6.9833677126253492E-03 a        65     0     4     1     5
  4.8915367389018846E-02 a        66     0     4     1     6
 -1.2960230389984045E-01 a        67     0     4     1     7
 -1.2414159056163812E-01 a        68     0     4     1     8
 -5.7670000497849316E-01 a        69     0     4     1     9
 -3.1017411149396745E-01 a        70     0     4     1    10
  6.0593952551528341E-01 a        71     0     4     1    11
  2.9856808975464771E-01 a        72     0     4     1    12
 -6.2935900034263181E-01 a        73     0     4     1    13
  3.1070828270277867E-01 a        74     0     4     1    14
  7.8577133656447740E-01 a        75     0     4     1    15
 -2.1580103831218356E-01 a        76     0     4     1    16
  9.9377744446054461E-02 a        77     0     4     1    17
  2.3051205257624341E-01 a        78     0     4     1    18
 -2.9045506681772559E-01 a        79     0     4     1    19
  5.6750126935950695E-01 a        80     0     4     1    20
 -1.9598022740389592E-01 a        81     0     5     1     1
 -4.2229247082582499E-01 a        82     0     5     1     2
  4.5936298536079423E-01 a        83     0     5     1     3
  9.2272299679508715E-02 a        84     0     5     1     4
  1.0749098793733990E-01 a        85     0     5     1     5
 -1.1983210739055516E-01 a        86     0     5     1     6
  3.1968799673908560E-01 a        87     0     5     1     7
  3.2121114585987964E-01 a        88     0     5     1     8
 -6.0019729253976839E-01 a        89     0     5     1     9
 -2.1384733661655933E-01 a        90     0     5     1    10
  4.0143794144374106E-01 a        91     0     5     1    11
 -4.1772946720277621E-02 a        92     0     5     1    12
  4.9158182969858366E-01 a        93     0     5     1    13
 -2.5503208009264228E-01 a        94     0     5     1    14
 -1.0573075769227615E-01 a        95     0     5     1    15
  4.3288690348035697E-01 a        96     0     5     1    16
  8.3632286738107464E-02 a        97     0     5     1    17
 -5.2123557988884706E-01 a        98     0     5     1    18
  3.8116396025144045E-01 a        99     0     5     1    19
 -5.0984517834861809E-01 a       100     0     5     1    20
  2.7124598568469399E-01 a       101     0     6     1     1
  1.2634654849845114E-01 a       102     0     6     1     2
 -2.1254265965201788E-01 a       103     0     6     1     3
  4.7251180237345078E-02 a       104     0     6     1     4
 -1.4454070574718536E-01 a       105     0     6     1     5
 -1.7808972706316384E-01 a       106     0     6     1     6
  3.9121376129686297E-01 a       107     0     6     1     7
 -3.1212861106385598E-01 a       108     0     6     1     8
 -3.0502878450380361E-01 a       109     0     6     1     9
  1.0480113822110419E-01 a       110     0     6     1    10
  2.1404760088297275E-01 a       111     0     6     1    11
  5.0740414910836051E-01 a       112     0     6     1    12
 -2.4057417975873668E-01 a       113     0     6     1    13
 -5.4249118475852098E-01 a       114     0     6     1    14
 -5.9719762121510744E-01 a       115     0     6     1    15
 -5.7146608455132331E-01 a       116     0     6     1    16
  1.5278211201030567E-01 a       117     0     6     1    17
  7.8406474836189205E-02 a       118     0     6     1    18
  3.3087675471017937E-02 a       119     0     6     1    19
 -2.1543415465999993E-01 a       120     0     6     1    20
 -7.7675655594366677E-02 a       121     0     7     1     1
 -9.6980672600128492E-01 a       122     0     7     1     2
 -3.1317275594684751E-01 a       123     0     7     1     3
  7.7361813978020511E-01 a       124     0     7     1     4
 -1.2003802977259168E-01 a       125     0     7     1     5
 -3.5756353374577304E-01 a       126     0     7     1     6
 -5.6242149497578298E-01 a       127     0     7     1     7
 -6.1959048802689098E-01 a       128     0     7     1     8
 -2.3903695633398986E-01 a       129     0     7     1     9
 -4.4604796634914495E-01 a       130     0     7     1    10
 -4.6735229314063859E-01 a       131     0     7     1    11
  1.1140129811844752E+00 a       132     0     7     1    12
  1.6203460090725380E-01 a       133     0     7     1    13
  2.5098976897781822E-01 a       134     0     7     1    14
  1.1580558458681643E-01 a       135     0     7     1    15
 -8.0048464473143377E-01 a       136     0     7     1    16
  3.6193559271722277E-02 a       137     0     7     1    17
  5.8362277606842294E-01 a       138     0     7     1    18
 -1.5933074389038818E-01 a       139     0     7     1    19
  3.4367492639789265E-01 a       140     0     7     1    20
 -4.1547411992266614E-01 a       141     0     8     1     1
 -3.9425041601664146E-01 a       142     0     8     1     2
  1.6772363776350452E-01 a       143     0     8     1     3
  9.1375082254552931E-02 a       144     0     8     1     4
  2.6230777838138181E-01 a       145     0     8     1     5
  5.1844986283371053E-01 a       146     0     8     1     6
 -2.8789807583203347E-01 a       147     0     8     1     7
 -1.6685920518424011E-01 a       148     0     8     1     8
  8.6085852606002811E-01 a       149     0     8     1     9
 -5.2690609258762278E-01 a       150     0     8     1    10
  8.7069135851349108E-02 a       151     0     8     1    11
 -3.0675650157197598E-01 a       152     0     8     1    12
 -6.4902455791485292E-02 a       153     0     8     1    13
 -4.3795006620434374E-01 a       154     0     8     1    14
 -1.6094234354160819E-01 a       155     0     8     1    15
 -6.0990052903437741E-01 a       156     0     8     1    16
  1.2949492587806702E-01 a       157     0     8     1    17
  7.6241384545041480E-02 a       158     0     8     1    18
 -3.1350709036992944E-03 a       159     0     8     1    19
  5.9389818974743824E-01 a       160     0     8     1    20
  2.2439952561593079E-01 a       161     0     9     1     1
  5.2097896443966861E-02 a       162     0     9     1     2
  4.2575196837523521E-01 a       163     0     9     1     3
  5.1625617935718439E-02 a       164     0     9     1     4
