################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.8655329382224032E-01   3.6364355962665180E+00   2.2119784681576435E+00   3.8982164788326551E-01
         1          2   3.5699082862581144E-01   2.0031124569208267E+00   1.2994521098968683E+00   1.9314919398540822E-01
         1          3   2.4253583906212917E-01   2.6983010627072188E+00   1.6071345237783112E+00   2.8699477114002625E-01
         1          4   3.3542904629093495E-01   1.5372546465126264E+00   9.9744101045215383E-01   1.4138420759838538E-01
         1          5   1.8503709795923420E-01   1.5491787211705357E+00   8.9011559742158120E-01   1.6054085816870442E-01
         1          6   2.8986050983056133E-01   9.5851457739199852E-01   6.4070535049617816E-01   7.7829435282261689E-02
         1          7   1.2998738560021622E-01   8.1181447628465786E-01   4.5034968386667024E-01   7.9668681985817127E-02
         1          8   2.3854599156072026E-01   5.8192272360200603E-01   4.2158764571359947E-01   4.0539426354468319E-02
         1          9   2.2019401469736052E-01   4.9816927636901054E-01   3.6305272944627848E-01   3.1419040668316967E-02
         1         10   1.7723908244726444E-01   1.0169045685317621E+00   5.3120597962909699E-01   9.6163510042361219E-02
         1         11   1.5931165210644979E-01   3.9224005962648778E-01   2.7312983872261637E-01   2.0878706459594696E-02
         1         12   1.0106474384096639E-01   6.8318193294241025E-01   2.9555524220090690E-01   5.2779720067391435E-02
         1         13   7.4340659297091619E-02   3.2028897659649835E-01   1.9454657712167572E-01   2.2645835164130004E-02
         1         14   2.7867297613902112E-02   4.8859027683498957E-01   1.5882253801165500E-01   3.7102407780210449E-02
         1         15   6.0765964821426774E-03   2.6933341009926554E-01   8.7030393842343637E-02   2.3954982883267122E-02
         1         16   8.6176614291566273E-04   3.2616869984647917E-01   5.8437222538056971E-02   3.2524425477896073E-02
         1         17   2.3905486661473520E-08   3.7621880078986758E-02   1.7099399409671336E-02   5.6190834887742654E-03
