################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.2224817823903623E-02 a         1     0     1     1     1
  3.7044576789317213E-01 a         2     0     1     1     2
  2.9534317148813433E-01 a         3     0     1     1     3
 -1.8164084182279430E-01 a         4     0     1     1     4
  2.9461410911605301E-01 a         5     0     1     1     5
  5.4128161021289678E-01 a         6     0     1     1     6
  2.9529982443928698E-01 a         7     0     1     1     7
  7.3540342456692831E-02 a         8     0     1     1     8
  2.0322839429414649E-01 a         9     0     1     1     9
  2.5565467536241643E-01 a        10     0     1     1    10
  1.7746046214239013E-02 a        11     0     1     1    11
  1.1054453631865768E+00 a        12     0     1     1    12
  4.7176782784097393E-01 a        13     0     1     1    13
 -9.2538974772675142E-01 a        14     0     1     1    14
  6.3363291512627840E-01 a        15     0     1     1    15
  2.7645758510854335E-01 a        16     0     1     1    16
  7.6228706688552278E-02 a        17     0     1     1    17
  2.9554459441838238E-01 a        18     0     1     1    18
  5.7679436462655798E-01 a        19     0     1     1    19
 -6.5448530615576195E-01 a        20     0     1     1    20
 -6.4801258327695579E-02 a        21     0     2     1     1
  1.0848791455701921E-01 a        22     0     2     1     2
 -2.9063190354910290E-01 a        23     0     2     1     3
  5.4422215076758162E-01 a        24     0     2     1     4
 -5.2543377870320973E-01 a        25     0     2     1     5
 -7.0425041539863631E-01 a        26     0     2     1     6
 -2.9907796450388519E-01 a        27     0     2     1     7
 -9.7768435966081524E-01 a        28     0     2     1     8
 -2.5516583215032190E-01 a        29     0     2     1     9
 -6.6756382349493759E-01 a        30     0     2     1    10
 -1.9526276257945638E-01 a        31     0     2     1    11
 -2.0708259143551637E+00 a        32     0     2     1    12
