################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4743705267740645E-01 a         1     0     1     1     1
 -1.5215533213459007E+00 a         2     0     1     1     2
 -1.4899453641878876E-01 a         3     0     1     1     3
 -3.5032784365845882E-01 a         4     0     1     1     4
 -1.9022189818238897E-01 a         5     0     1     1     5
 -1.1129910619577259E-01 a         6     0     1     1     6
  3.7580309635485259E-01 a         7     0     1     1     7
 -1.2499709400658915E-01 a         8     0     1     1     8
  1.6641001299851366E-01 a         9     0     1     1     9
 -5.4242625408284428E-01 a        10     0     1     1    10
  1.0213789199140556E-01 a        11     0     1     1    11
 -8.4949186764976448E-01 a        12     0     1     1    12
 -4.8320407395894077E-01 a        13     0     1     1    13
  2.5171093101704722E-01 a        14     0     1     1    14
 -1.6197521909019563E-01 a        15     0     1     1    15
  3.4332878937677280E-02 a        16     0     1     1    16
 -1.3841260584868517E-01 a        17     0     1     1    17
  1.2520843227356687E-01 a        18     0     1     1    18
 -1.6650608168961702E-03 a        19     0     1     1    19
 -4.3736831564518247E-01 a        20     0     1     1    20
  6.7729016872592551E-01 a        21     0     2     1     1
  1.9608513821148843E+00 a        22     0     2     1     2
  1.5538011882714298E-01 a        23     0     2     1     3
  8.6524253401853046E-01 a        24     0     2     1     4
  3.9850561246547667E-01 a        25     0     2     1     5
 -1.4766092919593471E-01 a        26     0     2     1     6
 -7.4884334265617664E-02 a        27     0     2     1     7
  4.0451012032855921E-02 a        28     0     2     1     8
  5.8150586406682403E-01 a        29     0     2     1     9
 -3.6074900920469111E-01 a        30     0     2     1    10
 -2.5358153040895202E-02 a        31     0     2     1    11
 -3.8974860027384442E-02 a        32     0     2     1    12
  5.7023795818743894E-01 a        33     0     2     1    13
  1.4146517839832992E-01 a        34     0     2     1    14
 -6.9101351530338126E-02 a        35     0     2     1    15
 -2.7347029360534836E-01 a        36     0     2     1    16
  3.3592037043747519E-01 a        37     0     2     1    17
  2.9767382410695081E-01 a        38     0     2     1    18
 -2.6543689046523565E-02 a        39     0     2     1    19
  6.0744448429190401E-01 a        40     0     2     1    20
 -3.8812072910929124E-01 a        41     0     3     1     1
  4.0713524749102864E-02 a        42     0     3     1     2
  8.1374064528990112E-02 a        43     0     3     1     3
 -3.2399119747901944E-01 a        44     0     3     1     4
 -4.8542764899827284E-01 a        45     0     3     1     5
  4.6339100505656122E-01 a        46     0     3     1     6
 -4.0247767858116568E-01 a        47     0     3     1     7
 -2.2039708055232317E-02 a        48     0     3     1     8
 -4.1767435079319076E-01 a        49     0     3     1     9
 -4.0877592234879612E-01 a        50     0     3     1    10
  4.3780594031600573E-01 a        51     0     3     1    11
 -3.5964330326981436E-01 a        52     0     3     1    12
  8.2061544306872458E-02 a        53     0     3     1    13
 -1.7620088977182158E-01 a        54     0     3     1    14
  1.1622093856149046E-03 a        55     0     3     1    15
 -4.0656161886100450E-01 a        56     0     3     1    16
 -8.1556490182009012E-01 a        57     0     3     1    17
